contract,trading_day,event_count,closed_by_opposing_event_count,stop_loss_count,unresolved_count,closed_by_opposing_event_rate,stop_loss_rate,unresolved_rate,average_R,total_R,expectancy_R
NQZ09-CME,2009-09-06,1,0,1,0,0.0,1.0,0.0,-1.0,-1.0,-1.0
NQZ09-CME,2009-09-07,39,27,12,0,0.6923076923076923,0.3076923076923077,0.0,-0.2809406012356567,-10.95668344819061,-0.2809406012356567
NQZ09-CME,2009-09-08,55,41,14,0,0.7454545454545455,0.2545454545454545,0.0,0.03660337005077313,2.0131853527925223,0.03660337005077313
NQZ09-CME,2009-09-09,76,51,25,0,0.6710526315789473,0.32894736842105265,0.0,-0.1838786026855932,-13.974773804105082,-0.1838786026855932
NQZ09-CME,2009-09-10,84,68,16,0,0.8095238095238095,0.19047619047619047,0.0,-0.2030000424800845,-17.0520035683271,-0.2030000424800845
NQZ09-CME,2009-09-13,107,86,21,0,0.8037383177570093,0.19626168224299065,0.0,0.10892948259462118,11.655454637624466,0.10892948259462118
NQZ09-CME,2009-09-14,86,70,16,0,0.813953488372093,0.18604651162790697,0.0,-0.08850934581175372,-7.61180373981082,-0.08850934581175372
NQZ09-CME,2009-09-15,79,54,25,0,0.6835443037974683,0.31645569620253167,0.0,-0.429019060989711,-33.89250581818717,-0.429019060989711
NQZ09-CME,2009-09-16,88,68,20,0,0.7727272727272727,0.22727272727272727,0.0,-0.08391226386666167,-7.384279220266227,-0.08391226386666167
NQZ09-CME,2009-09-17,93,75,18,0,0.8064516129032258,0.1935483870967742,0.0,-0.024018318854824385,-2.233703653498668,-0.024018318854824385
NQZ09-CME,2009-09-20,100,75,25,0,0.75,0.25,0.0,-0.2838068546468969,-28.38068546468969,-0.2838068546468969
NQZ09-CME,2009-09-21,75,47,28,0,0.6266666666666667,0.37333333333333335,0.0,-0.31631483992543347,-23.72361299440751,-0.31631483992543347
NQZ09-CME,2009-09-22,92,71,21,0,0.7717391304347826,0.22826086956521738,0.0,0.16625126313596048,15.295116208508363,0.16625126313596048
NQZ09-CME,2009-09-23,115,98,17,0,0.8521739130434782,0.14782608695652175,0.0,0.782298346048557,89.96430979558406,0.782298346048557
NQZ09-CME,2009-09-24,108,87,21,0,0.8055555555555556,0.19444444444444445,0.0,-0.17020048822201334,-18.38165272797744,-0.17020048822201334
NQZ09-CME,2009-09-27,109,85,24,0,0.7798165137614679,0.22018348623853212,0.0,-0.11018571415947018,-12.01024284338225,-0.11018571415947018
NQZ09-CME,2009-09-28,94,61,33,0,0.648936170212766,0.35106382978723405,0.0,-0.4609194968974185,-43.32643270835734,-0.4609194968974185
NQZ09-CME,2009-09-29,96,68,28,0,0.7083333333333334,0.2916666666666667,0.0,-0.12806071575925518,-12.293828712888498,-0.12806071575925518
