event_id,contract,event_direction,outcome,event_row_index,termination_row_index,audit_pass,first_mismatch,failed_checks,independent_first_row,independent_outcome,contract_match,event_direction_match,entry_price_match,origin_range_high_price_match,origin_range_low_price_match,range_high_before_range_low_match,highest_price_during_lifecycle_match,lowest_price_during_lifecycle_match,stop_loss_price_match,risk_unit_match,opposing_event_price_match,outcome_match,realized_R_match,seconds_to_resolution_match,ticks_to_resolution_match,event_timestamp_match,termination_timestamp_match,raw_entry_price_match,raw_entry_timestamp_match,risk_formula_match,raw_highest_price_match,raw_lowest_price_match,R_formula_match,first_termination_match
1,NQH18-CME,BEARISH,STOP_LOSS,133,134,True,,,134,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,NQH18-CME,BULLISH,STOP_LOSS,134,186,True,,,186,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,NQH18-CME,BEARISH,STOP_LOSS,186,203,True,,,203,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
90,NQH18-CME,BULLISH,STOP_LOSS,4849,4850,True,,,4850,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
122,NQH18-CME,BEARISH,STOP_LOSS,7003,7004,True,,,7004,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2122,NQH18-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,246531,246943,True,,,246943,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4721,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,549104,549291,True,,,549291,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8278,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,983823,983974,True,,,983974,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26541,NQH18-CME,BEARISH,STOP_LOSS,3115677,3115774,True,,,3115774,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
31724,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,3706720,3707600,True,,,3707600,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35515,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,4096673,4099579,True,,,4099579,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35516,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,4096724,4099579,True,,,4099579,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35517,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,4096797,4099579,True,,,4099579,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
56559,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,6250084,6250799,True,,,6250799,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
67926,NQH18-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,7301235,7301395,True,,,7301395,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
72712,NQH18-CME,BEARISH,CLOSED_BY_OPPOSING_EVENT,7687351,7687461,True,,,7687461,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
77588,NQH18-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,8021555,8021697,True,,,8021697,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
93259,NQH18-CME,BULLISH,CLOSED_BY_OPPOSING_EVENT,8902720,8902812,True,,,8902812,CLOSED_BY_OPPOSING_EVENT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103637,NQH18-CME,BULLISH,STOP_LOSS,9107185,9107201,True,,,9107201,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
135959,NQH18-CME,BEARISH,STOP_LOSS,10190032,10190114,True,,,10190114,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
160088,NQH18-CME,BULLISH,STOP_LOSS,10950277,10950306,True,,,10950306,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
170322,NQH18-CME,BEARISH,STOP_LOSS,11261962,11261976,True,,,11261976,STOP_LOSS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
